Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/24/2026,St. Thomas,South Dakota,A,St. Thomas -6.92,South Dakota +10.5 (-120),South Dakota +10.5,"90-78, St. Thomas",1,5.08,1.5,0,LOSS,-1
1/24/2026,Winthrop,Presbyterian,A,Winthrop -2.98,Presbyterian +5.5 (-102),Presbyterian +5.5,"82-72, Winthrop",0,7.02,4.5,0,LOSS,0
1/24/2026,Green Bay,Robert Morris,A,Robert Morris -4.49,Green Bay +6.5 (-115),Green Bay +7,"71-67, Green Bay",0,8.49,11,-0.5,WIN,0
1/24/2026,Duquesne,Loyola Chicago,A,Duquesne -6.12,Duquesne -4.5 (-112),Duquesne -5,"71-59, Duquesne",0,5.88,7,0.5,WIN,0
1/24/2026,Northeastern,Drexel,A,Drexel -5.53,Drexel -5.5 (-110),Drexel -4,"83-78, Drexel",0,0.53,1,-1.5,LOSS,0
1/24/2026,Chattanooga,Samford,A,Samford -4.95,Samford -4.5 (-108),Samford -4.5,"75-64, Samford",0,6.05,6.5,0,WIN,0
1/24/2026,Albany,New Hampshire,A,New Hampshire -3.3,New Hampshire +2.5 (-108),New Hampshire -1.5,"80-72, New Hampshire",0,4.7,6.5,4,WIN,0
1/24/2026,Bucknell,Loyola MD,A,Loyola MD -0.09,Loyola MD +2.5 (-105),Loyola MD -2.5,"67-62, Loyola MD",0,4.91,2.5,5,WIN,0
1/24/2026,Northern Illinois,Ball St.,A,Ball St. -5.46,Northern Illinois +6.5 (-118),Northern Illinois +6,"58-53, Ball St.",0,0.46,1,0.5,WIN,0
1/24/2026,Boston University,Colgate,A,Colgate -8.36,Colgate -7.5 (-105),Colgate -7,"80-79, Colgate",0,7.36,6,-0.5,LOSS,0
1/24/2026,Binghamton,Maine,A,Maine -4.92,Maine -4.5 (-110),Maine -5.5,"79-63, Maine",0,11.08,10.5,1,WIN,0
