Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/12/2026,American,Navy,H,American -0.68,American +2.5 (-112),American +2.5,"65-51, American",1,13.32,16.5,0,WIN,0.892857143
1/12/2026,Prairie View A&M,Arkansas Pine Bluff,H,Prairie View A&M -2.08,Arkansas Pine Bluff +2.5 (-115),Arkansas Pine Bluff +3,"73-61, Prairie View A&M",0,9.92,9,-0.5,LOSS,0
1/12/2026,Southeastern Louisiana,New Orleans,H,Southeastern Louisiana -3.68,Southeastern Louisiana -1.5 (-115),Southeastern Louisiana -3,"79-76, New Orleans",0,6.68,6,1.5,LOSS,0
1/12/2026,East Texas A&M,Texas A&M Corpus Chris,H,Texas A&M Corpus Chris -2.37,East Texas A&M +4.5 (-112),East Texas A&M +4,"61-50, Texas A&M Corpus Chris",0,8.63,7,0.5,LOSS,0
1/12/2026,Florida A&M,Grambling St.,H,Grambling St. -2.39,Grambling St. +1.5 (-108),Grambling St. -1.5,"91-84,Florida A&M",1,9.39,8.5,3,LOSS,-1
1/12/2026,Bethune Cookman,Southern,H,Bethune Cookman -3.39,Southern +3.5 (-110),Southern +3.5,"77-73, Southern",0,7.39,7.5,0,WIN,0
1/12/2026,McNeese St. ,Nicholls St.,H,McNeese St. -11.81,Nicholls St. +13.5 (-112),Nicholls St. +15.5,"94-68, McNeese St.",0,14.19,10.5,-2,LOSS,0
1/12/2026,Northwestern St.,UT Rio Grande Valley,H,UT Rio Grande Valley -4.14,UT Rio Grande Valley -2.5 (-118),UT Rio Grande Valley -2.5,"64-63, Northwestern St.",0,5.14,3.5,0,LOSS,0
1/12/2026,Stephen F. Austin,Incarnate Word,H,Stephen F. Austin -10.96,Stephen F. Austin -7.5 (-118),Stephen F. Austin -7.5,"56-46, Stephen F. Austin",1,0.96,2.5,0,WIN,0.847457627
1/12/2026,Alabama A&M,Jackson St.,H,Alabama A&M -8.11,Alabama A&M -6.5 (-102),Alabama A&M -6,"100-91, Alabama A&M",0,0.89,3,-0.5,WIN,0
1/12/2026,Alabama St.,Alcorn St.,H,Alabama St. -8.86,Alabama St. -7.5 (-108),Alabama St. -9.5,"81-66, Alabama St.",0,6.14,5.5,2,WIN,0
1/12/2026,Morgan St.,North Carolina Central,H,North Carolina Central -1.23,Morgan St. +1.5 (-105),Morgan St. +3.5,"89-78, North Carolina Central",0,9.77,7.5,-2,LOSS,0
1/12/2026,Lamar,Houston Christian,H,Lamar -8,Lamar -7.5 (-105),Lamar -8.5,"64-56, Lamar",0,0,0.5,1,WIN,0
1/12/2026,Norfolk St.,Maryland Eastern Shore,H,Norfolk St. -3.45,Maryland Eastern Shore +5.5 (-112),Maryland Eastern Shore +6,"74-70, Maryland Eastern Shore",0,7.45,10,-0.5,WIN,0
1/12/2026,Coppin St.,South Carolina St.,H,Coppin St. -0.18,South Carolina St. +1.5 (-105),South Carolina St. +1.5,"74-72, South Carolina St.",0,2.18,3.5,0,WIN,0
1/12/2026,Howard,Delaware St.,H,Howard -9.44,Delaware St. +9.5 (-122),Delaware St. +9,"84-58, Howard",0,16.56,17,0.5,LOSS,0
1/12/2026,Texas Southern,Mississippi Valley St.,H,Texas Southern -12.64,Mississippi Valley St. +14.5 (-102),Mississippi Valley St. +13,"84-51, Texas Southern",0,20.36,20,1.5,LOSS,0
1/13/2026,Iowa St.,Kansas,A,Iowa St. -3.71,Iowa St. -3.5 (-115),Iowa St. -3.5,"84-63, Kansas",0,24.71,24.5,0,LOSS,0
1/13/2026,Virginia,Louisville,A,Louisvile -3.54,Louisville -3.5 (-110),Louisville -4.5,"79-70, Virginia",0,12.54,13.5,1,LOSS,0
1/13/2026,Indiana,Michigan St.,A,Michigan St. -2.79,Indiana +7.5 (-115),Indiana +6.5,"81-60, Michigan St.",1,18.21,14.5,1,LOSS,-1
1/13/2026,Wisconsin,Minnesota,A,Wisconsin -1.18,Minnesota +1.5 (-118),Minnesota +1.5,"78-75, Wisconsin",0,1.82,1.5,0,LOSS,0
1/13/2026,Miami FL,Notre Dame,A,Miami FL -4.41,Miami FL -3.5 (-112),Miami FL -5,"81-69, Miami FL",0,7.59,7,1.5,WIN,0
1/13/2026,Villanova,Providence,A,Villanova -2.38,Villanova -1.5 (-118),Villanova -2.5,"88-82, Villanova",0,3.62,3.5,1,WIN,0
1/13/2026,Baylor,Oklahoma St.,A,Oklahoma St. -1.32,Oklahoma St. +1.5 (-108),Oklahoma St. +1.5,"94-79, Baylor",1,16.32,13.5,0,LOSS,-1
1/13/2026,Connecticut,Seton Hall,A,Connecticut -5.74,Connecticut -5.5 (-112),Connecticut -6.5,"69-64, Connecticut",0,0.74,1.5,1,LOSS,0
1/13/2026,Alabama,Mississippi St.,A,Alabama -9.81,Alabama -5.5 (-112),Alabama -4.5,"97-82, Alabama",1,5.19,10.5,-1,WIN,0.892857143
1/13/2026,Texas A&M,Tennessee,A,Tennessee -6.65,Texas A&M +8.5 (-115),Texas A&M +11,"87-82, Tennessee",0,1.65,6,-2.5,WIN,0
1/13/2026,Florida  ,Oklahoma  ,A,Florida -8.23,Florida -5.5 (-110),Florida -7.5,"96-79, Florida",1,8.77,9.5,2,WIN,0.909090909
1/13/2026,Saint Mary's,San Francisco,A,Saint Mary's -3.47,San Francisco +6.5 (-105),San Francisco +6,"82-68, Saint Mary's",1,10.53,8,0.5,LOSS,-1
1/13/2026,Boise St.,UNLV,A,Boise St. -2.03,UNLV +3.5 (-115),UNLV +1.5,"89-85, UNLV",0,6.03,5.5,2,WIN,0
1/13/2026,Dayton,Duquesne,A,Dayton -4.64,Dayton -4.5 (-108),Dayton -3,"71-65, Dayton",0,1.36,3,-1.5,WIN,0
1/13/2026,Grand Canyon,New Mexico,A,New Mexico -3.97,Grand Canyon +7.5 (-112),Grand Canyon +6.5,"87-64, New Mexico",1,19.03,16.5,1,LOSS,-1
1/13/2026,West Virginia,Houston  ,A,Houston -10.82,West Virginia +13.5 (-115),West Virginia +13.5,"77-48, Houston",1,18.18,15.5,0,LOSS,-1
1/13/2026,Oregon,Nebraska,A,Nebraska -11.49,Oregon +10.5 (-108),Oregon +10.5,"90-55, Nebraska",0,23.51,24.5,0,LOSS,0
1/13/2026,Kent St.,Buffalo,A,Buffalo -0.63,Buffalo +1.5 (-108),Buffalo +2,"87-81, Kent St.",0,6.63,4,-0.5,LOSS,0
1/13/2026,Colorado St.,Fresno St.,A,Colorado St. -2.93,Fresno St. +4.5 (-115),Fresno St. +4,"79-69, Fresno St.",0,12.93,14,0.5,WIN,0
1/13/2026,Massachusetts,Western Michigan,A,Massachusetts -3.05,Massachusetts -2.5 (-110),Massachusetts -5,"85-82, Massachusetts",0,0.05,2,2.5,WIN,0
1/13/2026,Marquette,St. John's,A,St. John's -14.96,St. John's -14.5 (-110),St. John's -15.5,"92-68, St. John's",0,9.04,8.5,1,WIN,0
1/13/2026,Florida St.,Syracuse,A,Syracuse -8.46,Florida St. +8.5 (-115),Florida St. +5,"94-86, Syracuse",0,0.46,3,3.5,WIN,0
1/13/2026,Maryland,USC,A,USC -6.51,Maryland +9.5 (-115),Maryland +9.5,"88-71, USC",1,10.49,7.5,0,LOSS,-1
1/13/2026,Georgetown,Creighton,A,Creighton -8.5,Georgetown +9.5 (-120),Georgetown +8,"86-83, Creighton",0,5.5,5,1.5,WIN,0
1/13/2026,Ohio,Toledo,A,Toledo -2.7,Toledo -2.5 (-105),Toledo -2,"101-85, Toledo",0,13.3,14,-0.5,WIN,0
1/13/2026,Bradley,Evansville,A,Bradley -5.78,Evansville +6.5 (-112),Evansville +7.5,"94-90, Bradley",0,1.78,3.5,-1,WIN,0
1/13/2026,Valparaiso,Belmont,A,Belmont -9.99,Valparaiso +10.5 (+100),Valparaiso +11.5,"78-74, Belmont",0,5.99,7.5,-1,WIN,0
1/13/2026,Boston College,Clemson,A,Clemson -16.27,Boston College +16.5 (-108),Boston College +15.5,"74-50, Clemson",0,7.73,8.5,1,LOSS,0
1/13/2026,Illinois Chicago,Northern Iowa,A,Northern Iowa -6.84,Illinois Chicago +7.5 (-108),Illinois Chicago +6.5,"69-61, Illinois Chicago",0,14.84,14.5,1,WIN,0
1/13/2026,George Mason,Loyola Chicago,A,George Mason -10.02,George Mason -9.5 (-102),George Mason -11.5,"82-74, George Mason",0,2.02,3.5,2,LOSS,0
1/13/2026,Ball St.,Akron,A,Akron -20.3,Ball St. +20.5 (-105),Ball St. +20.5,"87-77, Akron",0,10.3,10.5,0,WIN,0
1/13/2026,Central Michigan,Miami OH,A,Miami OH -17.84,Miami OH -16.5 (-110),Miami OH -15.5,"100-61, Miami OH",0,21.16,23.5,-1,WIN,0
1/13/2026,Northern Illinois,Eastern Michigan,A,Eastern Michigan -10.14,Eastern Michigan -9.5 (-110),Eastern Michigan -8,"77-59, Eastern Michigan",0,7.86,10,-1.5,WIN,0
1/13/2026,Air Force,San Jose St.,A,San Jose St. -9.75,San Jose St. -8.5 (-102),San Jose St. -5.5,"70-62, San Jose St.",0,1.75,2.5,-3,LOSS,0
1/13/2026,Western Illinois,Eastern Illinois,A,Eastern Illinois -7.35,Western Illinois +7.5 (-115),Western Illinois +6.5,"57-55, Eastern Illinois",0,5.35,4.5,1,WIN,0
1/14/2026,VCU,Rhode Island,A,VCU -2.17,Rhode Island +4.5 (-110),Rhode Island +3,"84-75, VCU",0,6.83,6,1.5,LOSS,0
1/14/2026,East Tennessee St.,Western Carolina,A,East Tennessee St. -4.72,Western Carolina +6.5 (-105),Western Carolina +7,"72-68, Western Carolina",0,8.72,11,-0.5,WIN,0
1/14/2026,Chattanooga,Wofford,A,Wofford -8.19,Wofford -4.5 (-120),Wofford -6,"76-67, Chattanooga",0,17.19,15,1.5,LOSS,0
1/14/2026,Army,Holy Cross,A,Holy Cross -3.74,Army +4.5 (-112),Army +4.5,"82-75, Holy Cross",0,3.26,2.5,0,LOSS,0
1/14/2026,Lehigh,Boston University,A,Boston University -5.37,Boston University -1.5 (-108),Boston University -4.5,"93-91, Lehigh",0.5,7.37,6.5,3,LOSS,-0.5
1/14/2026,Iowa  ,Purdue,A,Purdue -7.91,Iowa +10.5 (-122),Iowa +10.5,"79-72, Purdue",0,0.91,3.5,0,WIN,0
1/14/2026,Butler,Xavier,A,Butler -3.77,Butler -1.5 (-110),Butler -1.5,"89-75, Xavier",0,17.77,15.5,0,LOSS,0
1/14/2026,High Point,Winthrop,A,High Point -4.24,High Point +2.5 (-115),High Point -2.5,"92-75, Winthrop",1.5,21.24,19.5,5,LOSS,-1.5
1/14/2026,Auburn,Missouri,A,Auburn -1.95,Auburn -1.5 (-102),Auburn -1,"84-74, Missouri",0,11.95,11,-0.5,LOSS,0
1/14/2026,Kentucky,LSU,A,LSU -2.51,LSU +4.5 (-112),LSU +3.5,"75-74, Kentucky",0,3.51,2.5,1,WIN,0
1/14/2026,Pittsburgh,Georgia Tech,A,Pittsburgh -1.99,Pittsburgh -1.5 (-102),Pittsburgh -1.5,"89-66, Pittsburgh",0,21.01,21.5,0,WIN,0
1/14/2026,Colorado  ,Cincinnati,A,Cincinnati -4.55,Colorado +8.5 (-110),Colorado +8.5,"77-68, Cincinnati",0.5,4.45,0.5,0,LOSS,-0.5
1/14/2026,FIU,Kennesaw St.,A,Kennesaw St. -4.06,Kennesaw St. -3.5 (-112),Kennesaw St. -5.5,"89-86, Kennesaw St.",0,1.06,2.5,2,LOSS,0
1/14/2026,Mississippi,Georgia  ,A,Georgia -11.86,Georgia -10.5 (-102),Georgia -11,"97-95, Mississippi",0,13.86,13,0.5,LOSS,0
1/14/2026,St. Bonaventure,Saint Joseph's,A,Saint Joseph's -2.87,Saint Joseph's +1.5 (-105),Saint Joseph's +1.5,"68-64, Saint Joseph's",1,1.13,5.5,0,WIN,0.952380952
1/14/2026,Sam Houston St.,Jacksonville St.,A,Sam Houston St. -0.83,Sam Houston St. +1.5 (-118),Sam Houston St. +1,"77-62, Sam Houston St.",0,14.17,16,0.5,WIN,0
1/14/2026,Tulsa,Charlotte,A,Tulsa -4.78,Tulsa -4.5 (-105),Tulsa -4,"86-74, Tulsa",0,7.22,8,-0.5,WIN,0
1/14/2026,Davidson,George Washington,A,George Washington -10.64,Davidson +11.5 (-112),Davidson +10,"84-79, Davidson",0,15.64,15,1.5,WIN,0
1/14/2026,Illinois St.,Indiana St.,A,Illinois St. -6.76,Illinois St. -5.5 (-110),Illinois St. -6.5,"94-89, Indiana St.",0,11.76,11.5,1,LOSS,0
1/14/2026,Southern Miss,Troy,A,Troy -6.12,Southern Miss +8.5 (-102),Southern Miss +9,"91-65, Troy",0,19.88,17,-0.5,LOSS,0
1/14/2026,UNC Asheville,Presbyterian,A,Presbyterian -1.6,Presbyterian +2.5 (-115),Presbyterian +2,"71-70, Presbyterian",1,0.6,3,0.5,WIN,0.869565217
1/14/2026,La Salle,Richmond,A,Richmond -6.39,La Salle +8.5 (-108),La Salle +8,"74-53, Richmond",0,14.61,13,0.5,LOSS,0
1/14/2026,Furman,Samford,A,Furman -4.45,Furman +1.5 (-112),Furman -1.5,"77-73, Furman",1.5,0.45,2.5,3,WIN,1.339285714
1/14/2026,Saint Peter's,Quinnipiac,A,Quinnipiac -7.92,Quinnipiac -7.5 (-115),Quinnipiac -6.5,"74-70, Saint Peter's",0,11.92,10.5,-1,LOSS,0
1/14/2026,East Carolina,South Florida,A,South Florida -18.44,East Carolina +18.5 (-102),East Carolina +18.5,"82-71, South Florida",0,7.44,7.5,0,WIN,0
1/14/2026,Coastal Carolina,Marshall,A,Marshall -7.99,Coastal Carolina +8.5 (-110),Coastal Carolina +9.5,"85-83, Coastal Carolina",0,9.99,11.5,-1,WIN,0
1/14/2026,USC Upstate,Charleston Southern,A,Charleston Southern -8.66,Charleston Southern -6.5 (-108),Charleston Southern -6.5,"86-81, USC Upstate",0,13.66,11.5,0,LOSS,0
1/14/2026,Radford,Gardner Webb,A,Radford -8.61,Gardner Webb +13.5 (-115),Gardner Webb +13,"89-80, Radford",0,0.39,4,0.5,WIN,0
1/14/2026,Manhattan,Fairfield,A,Fairfield -7.68,Fairfield -5.5 (-115),Fairfield -6,"98-62, Fairfield",0,28.32,30,0.5,WIN,0
1/14/2026,Iona,Rider,A,Iona -6.74,Rider +7.5 (-110),Rider +7,"72-68, Rider",0,10.74,11,0.5,WIN,0
1/14/2026,Sacred Heart,Siena,A,Siena -11.38,Siena -8.5 (-110),Siena -8.5,"86-80, Sacred Heart",0,17.38,14.5,0,LOSS,0
1/14/2026,Colgate,Loyola MD,A,Colgate -7.71,Loyola MD +10.5 (-115),Loyola MD +9,"86-80, Colgate",0,1.71,3,1.5,WIN,0
1/14/2026,Niagara,Canisius,A,Canisius -5.14,Canisius -2.5 (-112),Canisius -2.5,"59-54, Niagara",0,10.14,7.5,0,LOSS,0
1/14/2026,UAB,Tulane,A,UAB -2.9,UAB -2.5 (-110),UAB -2,"82-69, UAB",0,10.1,11,-0.5,WIN,0
1/14/2026,Missouri St.,Western Kentucky,A,Western Kentucky -2.85,Missouri St. +6.5 (-105),Missouri St. +6.5,"87-72, Western Kentucky",0,12.15,8.5,0,LOSS,0
1/14/2026,Middle Tennessee,Louisiana Tech,A,Middle Tennessee -5.28,Middle Tennessee -3.5 (-112),Middle Tennessee -3.5,"59-58, Louisiana Tech",0,6.28,4.5,0,LOSS,0
1/14/2026,Lafayette,Bucknell,A,Bucknell -5.95,Bucknell -3.5 (-105),Bucknell -2.5,"76-69, Bucknell",0,1.05,4.5,-1,WIN,0
1/14/2026,UCF,Kansas St.,A,UCF -1.22,UCF +2.5 (-115),UCF +2.5,"82-73, UCF",0.5,7.78,11.5,0,WIN,0.434782609
1/14/2026,San Diego St.,Wyoming,A,Wyoming -3.01,Wyoming +1.5 (-105),Wyoming +1,"74-57, San Diego St.",0,20.01,16,0.5,LOSS,0
1/14/2026,Temple ,Memphis,A,Memphis -6.71,Temple +7.5 (-108),Temple +8,"55-53, Memphis",0,4.71,6,-0.5,WIN,0
1/14/2026,Drake,Southern Illinois,A,Southern Illinois -6.51,Southern Illinois -5.5 (-115),Southern Illinois -5.5,"76-73, Drake",0,9.51,8.5,0,LOSS,0
1/14/2026,South Dakota St.,North Dakota St.,A,North Dakota St. -8.71,North Dakota St. -5.5 (-110),North Dakota St. -5.5,"76-65, North Dakota St.",0,2.29,5.5,0,WIN,0
1/14/2026,Fordham,Saint Louis,A,Saint Louis -13.29,Fordham +18.5 (-108),Fordham +18,"78-56, Saint Louis",1,8.71,4,0.5,LOSS,-1
1/14/2026,Rice,UTSA,A,Rice -4.67,UTSA +5.5 (-108),UTSA +6,"89-73, Rice",0,11.33,10,-0.5,LOSS,0
1/14/2026,Louisiana,Texas St.,A,Texas St. -8.74,Louisiana +9.5 (-118),Louisiana +8.5,"59-54, Texas St.",0,3.74,3.5,1,WIN,0
1/14/2026,Illinois,Northwestern,A,Illinois -10.26,Illinois -8.5 (-120),Illinois -9.5,"79-68, Illinois",0,0.74,1.5,1,WIN,0
1/14/2026,UCLA,Penn St.,A,UCLA -0.14,Penn St. +3.5 (-108),Penn St. +4.5,"71-60, UCLA",0,10.86,6.5,-1,LOSS,0
1/14/2026,Vanderbilt,Texas,A,Vanderbilt -4.83,Texas +5.5 (-112),Texas +4,"80-64, Texas",0,20.83,20,1.5,WIN,0
1/14/2026,North Carolina,Stanford,A,North Carolina -2.42,Stanford +2.5 (-105),Stanford +4.5,"95-90, Stanford",0,7.42,9.5,-2,WIN,0
1/14/2026,South Carolina,Arkansas  ,A,Arkansas -7.46,South Carolina +10.5 (-108),South Carolina +12,"108-74, Arkansas",0,26.54,22,-1.5,LOSS,0
1/14/2026,Utah,Texas Tech,A,Texas Tech -14.78,Utah +17.5 (-110),Utah +17.5,"88-74, Texas Tech",0,0.78,3.5,0,WIN,0
1/14/2026,Portland,Pepperdine,A,Portland -0.47,Pepperdine +1.5 (-108),Pepperdine +1.5,"67-63, Pepperdine",0,4.47,5.5,0,WIN,0
1/14/2026,Oral Roberts,Denver,A,Denver -5.78,Oral Roberts +7.5 (-102),Oral Roberts +6.5,"98-97, Denver",0,4.78,5.5,1,WIN,0
1/14/2026,Nevada,Utah St.,A,Utah St. -10.48,Nevada +12.5 (-105),Nevada +13.5,"71-62, Utah St.",0,1.48,4.5,-1,WIN,0
1/14/2026,Loyola Marymount,Oregon St.,A,Loyola Marymount -1.01,Oregon St. +1.5 (-115),Oregon St. +1.5,"76-70, Oregon St.",0,7.01,7.5,0,WIN,0
1/14/2026,Pacific,Santa Clara,A,Santa Clara -13.46,Pacific +13.5 (-112),Pacific +12.5,"85-69, Santa Clara",0,2.54,3.5,1,LOSS,0
1/14/2026,Michigan,Washington,A,Michigan -12.59,Michigan -12.5 (-108),Michigan -12.5,"82-72, Michigan",0,2.59,2.5,0,LOSS,0
1/14/2026,Arizona St.,Arizona,A,Arizona -19.7,Arizona St. +21.5 (-105),Arizona St. +21,"89-82, Arizona",0,12.7,14,0.5,WIN,0
1/14/2026,Duke,California,A,Duke -10.23,California +12.5 (-112),California +14,"71-56, Duke",0,4.77,1,-1.5,LOSS,0
1/14/2026,TCU,BYU,A,BYU -7.98,TCU +12.5 (-112),TCU +13,"76-70, BYU",1,1.98,7,-0.5,WIN,0.892857143
1/14/2026,Virginia Tech,SMU,A,SMU -8.06,SMU -7.5 (-105),SMU -8.5,"77-76, SMU",0,7.06,7.5,1,LOSS,0
1/15/2026,New Mexico St. ,Liberty,A,Liberty -4.59,New Mexico St. +8.5 (-102),New Mexico St. +9,"73-71, Liberty",0.68,2.59,7,-0.5,WIN,0.666666667
1/15/2026,UMBC,Bryant,A,UMBC -1.77,UMBC -1.5 (+100),UMBC -1.5,"79-74, Bryant",0,6.77,6.5,0,LOSS,0
1/15/2026,Mercer,VMI,A,Mercer -8.42,VMI +8.5 (-108),VMI +8.5,"77-67, Mercer",0,1.58,1.5,0,LOSS,0
1/15/2026,NJIT,UMass Lowell,A,UMass Lowell -9.91,UMass Lowell -8.5 (-112),UMass Lowell -8.5,"73-64, NJIT",0,18.91,17.5,0,LOSS,0
1/15/2026,Robert Morris,IU Indy,A,Robert Morris -4.23,IU Indy +5.5 (-108),IU Indy +5.5,"96-93, IU Indy",0,7.23,8.5,0,WIN,0
1/15/2026,James Madison,Appalachian St.,A,Appalachian St. -5.36,Appalachian St. -1.5 (-112),Appalachian St. -2.5,"80-65, Appalachian St.",0.66,9.64,12.5,1,WIN,0.589285714
1/15/2026,Binghamton,Albany,A,Albany -10.37,Albany -7.5 (-115),Albany -8.5,"69-53, Albany",0,5.63,7.5,1,WIN,0
1/15/2026,Oakland,Milwaukee,A,Oakland -0.27,Milwaukee +2.5 (-118),Milwaukee +2.5,"73-60, Oakland",0,12.73,10.5,0,LOSS,0
1/15/2026,Elon,Northeastern,A,Elon -3.81,Elon -2.5 (-118),Elon -3.5,"85-78, Northeastern",0,10.81,10.5,1,LOSS,0
1/15/2026,Queens,Florida Gulf Coast,A,Florida Gulf Coast -3.67,Florida Gulf Coast -1.5 (-112),Florida Gulf Coast -2,"85-74, Queens",0,14.67,13,0.5,LOSS,0
1/15/2026,Youngstown St.,Wright St.,A,Wright St. -6.29,Wright St. -4.5 (-118),Wright St. -4.5,"93-83, Wright St.",0,3.71,5.5,0,WIN,0
1/15/2026,Detroit Mercy,Northern Kentucky,A,Northern Kentucky -7.22,Detroit Mercy +10.5 (-120),Detriot Mercy +10.5,"96-71, Northern Kentucky",0,17.78,14.5,0,LOSS,0
1/15/2026,Hofstra,Stony Brook,A,Hofstra -7.06,Hofstra -6.5 (-110),Hofstra -6.5,"76-71, Stony Brook",0,12.06,11.5,0,LOSS,0
1/15/2026,Old Dominion,Georgia Southern,A,Georgia Southern -7.04,Georgia Southern -6.5 (-105),Georgia Southern -6,"87-84, Georgia Southern",0,4.04,3,-0.5,LOSS,0
1/15/2026,West Georgia,Stetson,A,Stetson -2.91,Stetson +2.5 (-112),Stetson +1,"95-86, Stetson",2,6.09,10,1.5,WIN,1.785714286
1/15/2026,Drexel,Monmouth,A,Monmouth -6.27,Monmouth -5.5 (-110),Monmouth -5.5,"73-51, Drexel",0,28.27,27.5,0,LOSS,0
1/15/2026,Green Bay,Cleveland St.,A,Green Bay -6.52,Green Bay -3.5 (-105),Green Bay -3.5,"88-73, Green Bay",0,8.48,11.5,0,WIN,0
1/15/2026,North Carolina A&T,William & Mary,A,William & Mary -10.72,North Carolina A&T +13.5 (-108),North Carolina A&T +14,"97-89, William & Mary",0,2.72,6,-0.5,WIN,0
1/15/2026,UTEP,Delaware  ,A,Delaware -1.74,Delaware -1.5 (-118),Delaware -2,"70-69, UTEP",0,2.74,3,0.5,LOSS,0
1/15/2026,North Florida,North Alabama,A,North Alabama -8.19,North Florida +9.5 (-115),North Florida +9.5,"105-91, North Florida",0,22.19,23.5,0,WIN,0
1/15/2026,Maine,Vermont,A,Vermont -16.46,Vermont -14.5 (-102),Vermont -14.5,"67-62, Vermont",0,11.46,9.5,0,LOSS,0
1/15/2026,The Citadel,UNC Greensboro,A,UNC Greensboro -10.8,UNC Greensboro -8.5 (-120),UNC Greensboro -9.5,"69-66, UNC Greensboro",0,7.8,6.5,1,LOSS,0
1/15/2026,Jacksonville,Central Arkansas,A,Central Arkansas -11.25,Central Arkansas -7.5 (-112),Central Arkansas -7.5,"62-60, Central Arkansas",0.66,9.25,5.5,0,LOSS,-0.66
1/15/2026,Arkansas St.,South Alabama,A,Arkansas St. -4.43,Arkansas St. -3.5 (-115),Arkansas St. -4,"91-87, South Alabama",0,8.43,8,0.5,LOSS,0
1/15/2026,Cal Baptist,Abilene Christian,A,Cal Baptist -0.92,Cal Baptist +1.5 (-130),Cal Baptist +0,"74-58, Cal Baptist",0,15.08,16,1.5,WIN,0
1/15/2026,Charleston,Towson,A,Towson -1.35,Charleston +2.5 (-112),Charleston +3,"61-52, Towson",0,7.65,6,-0.5,LOSS,0
1/15/2026,South Dakota  ,UMKC,A,South Dakota -3.07,UMKC +7.5 (-105),UMKC +7.5,"99-83, South Dakota",1,12.93,8.5,0,LOSS,-1
1/15/2026,Eastern Illinois,Little Rock,A,Little Rock -2.19,Eastern Illinois +6.5 (-115),Eastern Illinois +6.5,"74-63, Little Rock",1,8.81,4.5,0,LOSS,-1
1/15/2026,St. Thomas,North Dakota  ,A,St. Thomas -9.67,St. Thomas -9.5 (-118),St. Thomas -10,"91-80, St. Thomas",0,1.33,1,0.5,WIN,0
1/15/2026,Eastern Kentucky,Austin Peay,A,Austin Peay -9.8,Austin Peay -7.5 (-108),Austin Peay -7.5,"74-72, Austin Peay",0,7.8,5.5,0,LOSS,0
1/15/2026,Bellarmine,Lipscomb,A,Lipscomb -11.69,Lipscomb -10.5 (-105),Lipscomb -8.5,"81-71, Lipscomb",0,1.69,1.5,-2,LOSS,0
1/15/2026,Tarleton St.,Southern Utah,A,Tarleton St. -4.45,Southern Utah +4.5 (-110),Southern Utah +3.5,"106-105, Southern Utah",0,5.45,4.5,1,WIN,0
1/15/2026,Morehead St.,Tennessee St.,A,Tennessee St. -6.74,Morehead St. +8.5 (-112),Morehead St. +7.5,"105-100, Tennessee St.",0,1.74,2.5,1,WIN,0
1/15/2026,SIU Edwardsville,Tennessee Martin,A,Tennessee Martin -7.45,SIU Edwardsville +8.5 (-118),SIU Edwardsville +8,"65-59, Tennessee Martin",0,1.45,2,0.5,WIN,0
1/15/2026,Southern Indiana,Tennessee Tech,A,Tennessee Tech -5.23,Southern Indiana +5.5 (-108),Southern Indiana +5.5,"71-54, Southern Indiana",0,22.23,22.5,0,WIN,0
1/15/2026,Wichita St.,Florida Atlantic,A,Florida Atlantic -4.91,Florida Atlantic -3.5 (-115),Florida Atlantic -3.5,"85-67, Florida Atlantic",0,13.09,14.5,0,WIN,0
1/15/2026,UT Arlington,Utah Tech,A,Utah Tech -0.09,UT Arlington +1.5 (-115),UT Arlington +1,"56-52, UT Arlington",0,4.09,5,0.5,WIN,0
1/15/2026,Cal St. Fullerton,UC Davis,A,UC Davis -3.64,UC Davis -3.5 (-110),UC Davis -3.5,"74-69, UC Davis",0,1.36,1.5,0,WIN,0
1/15/2026,Idaho,Idaho St.,A,Idaho St. -1.9,Idaho +2.5 (-110),Idaho +2.5,"76-68, Idaho St.",0,6.1,5.5,0,LOSS,0
1/15/2026,Lindenwood,Southeast Missouri St.,A,Southeast Missouri St. -3.77,Lindenwood +6.5 (-110),Lindenwood +6.5,"88-76, Lindenwood",0,15.77,18.5,0,WIN,0
1/15/2026,Eastern Washington,Weber St.,A,Weber St. -6.73,Weber St. -4.5 (-115),Weber St. -3.5,"91-80, Weber St.",0,4.27,7.5,-1,WIN,0
1/15/2026,UC Santa Barbara,Cal St. Bakersfield,A,UC Santa Barbara -2.63,Cal St. Bakersfield +7.5 (-118),Cal St. Bakersfield +7,"75-69, UC Santa Barbara",1,3.37,1,0.5,WIN,0.847457627
1/15/2026,Gonzaga,Washington St.,A,Gonzaga -12.03,Washington St. +17.5 (-110),Washington St. +17,"86-65, Gonzaga",1,8.97,4,0.5,LOSS,-1
1/15/2026,Northern Colorado,Portland St.,A,Portland St. -1.47,Northern Colorado +2.5 (-102),Northern Colorado +3,"76-73, Portland St.",0,1.53,0,-0.5,LOSS,0
1/15/2026,Hawaii,Cal Poly,A,Hawaii -7.1,Hawaii -4.5 (-112),Hawaii -6,"86-66, Hawaii",0,12.9,14,1.5,WIN,0
1/15/2026,Cal St. Northridge,UC San Diego,A,UC San Diego -8.89,UC San Diego -7.5 (-110),UC San Diego -7.5,"84-79, Cal St. Northridge",0,13.89,12.5,0,LOSS,0
